"id","tot_amt","total_actual_amt"
61741756,5888.5680,5998.0800
61747880,2861.8840,2923.1200
61753966,3192.8080,3256.9600
61754594,3289.5760,3343.3600
61765306,3901.1000,3974.0000
61787631,3425.0360,3490.1600
61809350,6118.2200,6242.9600
61811024,31403.4200,31891.0400
61813377,6109.5280,6206.0800
61813403,3097.9800,3164.4000
61823850,1994.9200,2017.6000
61859184,2668.8560,2709.6800
61873759,3608.1620,3666.3200
